Country,Code,Old.Name
Myanmar,BIR,Burma
Sri Lanka,CEY,Ceylon
Benin,DAH,Dahomey
Guyana,GUI,British Guiana
Belize,HBR,British Honduras
Cambodia,KHM,Khmer Republic
Malaysia,MAL,Malaya
Malaysia,NBO,North Borneo
Zambia,NRH,Northern Rhodesia
Egypt and Syria,RAU,United Arab Republic
Zimbabwe,RHO,Rhodesia
Taiwan,ROC,Republic of China
Germany,SAA,Saar
Egypt,UAR,United Arab Republic
Burkina Faso,VOL,Upper Volta
Yemen,YAR,North Yemen
Yemen,YMD,South Yemen
Congo-Dem Rep,ZAI,Zaire
Netherlands,HOL,
Iran,IRN,
Netherlands,AHO,Netherlands Antilles
Australia,ANZ,Australasia
Czech Republic,BOH,Bohemia
West Indies,BWI,British West Indies
Germany,EUA,Germany United Team of Germany
Mixed,EUN,International Olympic Committee Unified Team
Germany,FRG,West Germany
Germany,GDR,East Germany
Russia,RU1,Russian Empire
Czech Republic,TCH,Czechoslovakia
Russia,URS,Soviet Union
Mixed,YUG,Yugoslavia
Mixed,ZZX,International Olympic Committee Mixed teams
Independents,IOP,
Serbia,SRB,
Montenegro,MNE,
Independents,TTO,
Singapore,SGP,
Romania,ROU,
Independents,,
